City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Uusikaupunki,FI,60.8004,21.4084,51.75,77,20,3.74,few clouds
291,Shingu,JP,33.7333,135.9833,71.11,99,100,1.07,light rain
292,Lagos,NG,6.5833,3.75,74.77,95,80,3.51,light rain
293,Moose Factory,CA,51.2585,-80.6094,64.4,94,100,4.61,overcast clouds
294,Kodiak,US,57.79,-152.4072,56.71,67,75,6.91,broken clouds
295,Severo-Kurilsk,RU,50.6789,156.125,49.62,85,99,12.93,overcast clouds
296,Jabinyanah,TN,35.035,10.9081,73.2,69,0,6.33,clear sky
297,Hamilton,US,39.1834,-84.5333,72.99,69,0,4.61,clear sky
298,Birin,NP,26.8865,88.0718,63.48,97,99,3.4,overcast clouds
299,Dingle,PH,10.9995,122.6711,81.97,80,100,1.99,moderate rain
300,Iberia,US,29.9502,-91.7507,86.05,70,0,4.61,clear sky
301,Bulungu,CD,-4.55,18.6,68.04,90,73,1.72,light rain
302,Faanui,PF,-16.4833,-151.75,79.97,77,34,12.01,scattered clouds
303,Gamboula,CF,4.1178,15.1393,66.34,98,100,1.79,overcast clouds
304,Morondava,MG,-20.2833,44.2833,66.61,61,0,7.61,clear sky
305,Japura,ID,-0.3167,102.35,82.99,73,60,2.53,broken clouds
306,Avera,US,33.194,-82.5271,78.55,36,98,5.12,overcast clouds
307,Waitati,NZ,-45.75,170.5667,48.85,64,0,2.48,clear sky
308,Tupik,RU,54.4253,119.9327,54.63,99,100,4.68,moderate rain
309,Fuengirola,ES,36.54,-4.6247,75.2,44,0,16.11,clear sky
310,Carballo,ES,43.213,-8.691,58.01,92,97,5.39,overcast clouds
311,Kungurtug,RU,50.5994,97.5228,66.36,41,11,1.99,few clouds
312,Yakeshi,CN,49.2833,120.7333,73.96,39,0,24.25,clear sky
313,Calama,CL,-22.4667,-68.9333,43.29,21,0,6.91,clear sky
314,Burnie,AU,-41.0667,145.9167,57.94,62,99,8.1,overcast clouds
315,Camacha,PT,33.0833,-16.3333,62.02,72,40,5.75,scattered clouds
316,Te Anau,NZ,-45.4167,167.7167,42.78,79,4,0.89,clear sky
317,San Felipe,VE,10.3399,-68.7425,70.48,98,100,0.67,overcast clouds
318,Chebsara,RU,59.2002,38.8356,51.13,96,100,5.06,overcast clouds
319,Buraydah,SA,26.326,43.975,84.65,14,0,5.97,clear sky
320,Shimanovsk,RU,52.0,127.7,58.32,98,100,13.02,light rain
321,Chuy,UY,-33.6971,-53.4616,47.77,80,100,6.22,overcast clouds
322,Sioux Lookout,CA,50.1001,-91.917,82.47,57,100,26.46,overcast clouds
323,Palmer,US,42.1584,-72.3287,63.25,76,75,0.0,broken clouds
324,Umm Lajj,SA,25.0213,37.2685,81.52,73,63,10.85,broken clouds
325,Buala,SB,-8.145,159.5921,82.89,77,78,6.44,light rain
326,Nanortalik,GL,60.1432,-45.2371,37.87,98,100,12.95,overcast clouds
327,Saint-Junien,FR,45.8833,0.9,64.98,98,73,1.3,broken clouds
328,Pathein,MM,16.7833,94.7333,78.17,88,100,6.04,overcast clouds
329,Kautokeino,NO,69.0125,23.0412,51.67,78,100,18.48,overcast clouds
330,Suhbaatar,MN,50.2314,106.2078,71.6,53,66,4.56,broken clouds
331,Chanthaburi,TH,12.8333,102.1667,80.49,67,54,5.12,broken clouds
332,Bahir Dar,ET,11.5936,37.3908,58.62,92,75,5.1,light rain
333,Paamiut,GL,61.994,-49.6678,37.15,92,100,12.12,overcast clouds
334,Minot,US,48.2325,-101.2963,62.82,82,100,18.41,moderate rain
335,Baiao,BR,-2.7906,-49.6717,72.41,92,75,2.53,broken clouds
336,Gewane,ET,10.1664,40.6453,82.38,42,29,13.98,scattered clouds
337,Raudeberg,NO,61.9875,5.1352,52.95,91,100,20.38,overcast clouds
338,Kosh-Agach,RU,50.0,88.6667,60.08,43,6,2.77,clear sky
339,Cayenne,GF,4.9333,-52.3333,77.09,1,0,0.0,clear sky
340,Cap Malheureux,MU,-19.9842,57.6142,71.8,59,2,14.72,clear sky
341,Zhanakorgan,KZ,43.9098,67.2495,75.88,50,46,10.25,scattered clouds
342,Nishihara,JP,26.1842,127.7558,87.46,83,20,16.11,few clouds
343,Meulaboh,ID,4.1363,96.1285,74.95,89,100,4.12,overcast clouds
344,Kushiro,JP,42.975,144.3747,68.95,68,20,3.44,few clouds
345,Lubao,PH,14.9167,120.55,87.51,59,54,6.53,broken clouds
346,Banavar,IN,13.4136,76.1683,73.08,79,100,7.14,overcast clouds
347,Emerald,AU,-23.5333,148.1667,70.34,55,91,6.51,overcast clouds
348,Shiringushi,RU,53.8485,42.7676,55.89,89,63,3.36,broken clouds
349,Ilhabela,BR,-23.7781,-45.3581,65.73,89,8,3.71,clear sky
